"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","25","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","56","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","passed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","48","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","failed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","25","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","30","No Auth - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","63135","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 23:36:54 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Delete a report (soft delete)","26","Delete Report","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","26","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","26","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Create a new report","27","Create Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","27","update role","QA|Nova Bank - Infopool","Thu Jun 05 23:37:58 GMT 2025","passed","Thu Jun 05 23:37:58 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","55","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 23:36:51 GMT 2025","passed","Thu Jun 05 23:36:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","24","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 23:37:59 GMT 2025","passed","Thu Jun 05 23:37:59 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","38","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 23:36:42 GMT 2025","passed","Thu Jun 05 23:36:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Reports - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:00 GMT 2025","passed","Thu Jun 05 23:38:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","26","Export Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 23:38:01 GMT 2025","passed","Thu Jun 05 23:38:01 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
